100 % Utilization
governor       cpus   thrds   SOC, J     | CA57, J    | Total J    | Eff J/cycle
 ondemand       0-3    1        19.077069 |  13.983527 |    33.0606 |   0.354378
 ondemand       0-3    2        19.148793 |  25.243549 |    44.3923 |   0.239026
 ondemand       0-3    4        19.108093 |  45.234406 |    64.3425 |    0.17428
 ondemand       0-3    idle     18.975145 |   3.568466 |    22.5436 |     -
 ondemand       4-7    1        19.746647 |   3.275354 |     23.022 |   0.799514
 ondemand       4-7    2        20.566716 |    3.26996 |    23.8367 |   0.431675
 ondemand       4-7    4        22.333746 |    3.27241 |    25.6062 |   0.241438
 ondemand       4-7    idle     19.084514 |   3.243696 |    22.3282 |     -
 powersave      0-3    1        19.043459 |   5.293827 |    24.3373 |   0.869437
 powersave      0-3    2        19.044685 |   7.526952 |    26.5716 |   0.475019
 powersave      0-3    4        19.019591 |  11.329528 |    30.3491 |   0.273184
 powersave      0-3    idle     19.022953 |   3.364539 |    22.3875 |     -
 powersave      4-7    1        19.443115 |   3.207174 |    22.6503 |    1.20186
 powersave      4-7    2        20.017157 |   3.203911 |    23.2211 |   0.639946
 powersave      4-7    4        21.142695 |   3.226138 |    24.3688 |     0.3498
 powersave      4-7    idle      19.01818 |   3.196692 |    22.2149 |     -
 performance    0-3    1          19.1156 |  14.059373 |     33.175 |   0.355779
 performance    0-3    2        19.220225 |  25.425999 |    44.6462 |   0.240236
 performance    0-3    4        19.152367 |  45.350503 |    64.5029 |    0.17528
 performance    0-3    idle     19.195242 |    5.76244 |    24.9577 |     -
 performance    4-7    1        19.723594 |   3.231533 |    22.9551 |   0.794323
 performance    4-7    2         20.55661 |   3.230913 |    23.7875 |   0.430014
 performance    4-7    4        22.320406 |   3.246055 |    25.5665 |   0.240884
 performance    4-7    idle     19.035845 |   3.190021 |    22.2259 |     -

25 % Utilization
governor       cpus   thrds   SOC, J     | CA57, J    | Total J    | Eff J/cycle
 ondemand       0-3    1         18.94233 |   6.467818 |    25.4101 |    1.10469
 ondemand       0-3    2        18.911359 |   8.648616 |      27.56 |   0.594875
 ondemand       0-3    4        18.958767 |  12.794972 |    31.7537 |   0.344872
 ondemand       0-3    idle     18.846986 |   3.338535 |    22.1855 |     -
 ondemand       4-7    1        19.088568 |   3.085739 |    22.1743 |    3.09265
 ondemand       4-7    2        19.316236 |   3.095678 |    22.4119 |    1.61028
 ondemand       4-7    4        19.718384 |    3.10593 |    22.8243 |   0.853309
 ondemand       4-7    idle      18.94787 |   3.091466 |    22.0393 |     -
 powersave      0-3    1        18.890726 |    3.67887 |    22.5696 |    3.19005
 powersave      0-3    2        18.885986 |   4.220532 |    23.1065 |    1.64237
 powersave      0-3    4        18.878544 |   5.179718 |    24.0583 |   0.862149
 powersave      0-3    idle     18.881182 |   3.184606 |    22.0658 |     -
 powersave      4-7    1        19.041803 |   3.075733 |    22.1175 |    4.60782
 powersave      4-7    2        19.164979 |   3.073857 |    22.2388 |    2.42253
 powersave      4-7    4        19.456819 |   3.079039 |    22.5359 |    1.25653
 powersave      4-7    idle     18.923475 |   3.079127 |    22.0026 |     -
 performance    0-3    1        18.950322 |    6.50696 |    25.4573 |    1.08792
 performance    0-3    2        18.916762 |   8.896237 |     27.813 |   0.597422
 performance    0-3    4        18.952404 |  14.106148 |    33.0586 |   0.358048
 performance    0-3    idle     18.945707 |   4.779654 |    23.7254 |     -
 performance    4-7    1        19.107983 |   3.071206 |    22.1792 |    3.05288
 performance    4-7    2        19.306735 |   3.073559 |    22.3803 |    1.60157
 performance    4-7    4         19.78055 |   3.086457 |     22.867 |   0.844331
 performance    4-7    idle     18.930008 |   3.064862 |    21.9949 |     -
